route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
30,250901-MULTI-Weekday-01,24627227-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164679,300083,1,1
30,250901-MULTI-Weekday-01,24627228-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164543,300083,1,1
30,250901-MULTI-Weekday-01,24627229-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164651,300083,1,1
30,250901-MULTI-Weekday-01,24627230-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164545,300083,1,1
30,250901-MULTI-Weekday-01,24627231-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164653,300083,1,1
30,250901-MULTI-Weekday-01,24627232-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164549,300083,1,1
30,250901-MULTI-Weekday-01,24627233-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164654,300083,1,1
30,250901-MULTI-Weekday-01,24627234-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164652,300086,1,1
30,250901-MULTI-Weekday-01,24627235-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164548,300086,1,1
30,250901-MULTI-Weekday-01,24627236-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164543,300086,1,1
30,250901-MULTI-Weekday-01,24627237-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164651,300086,1,1
30,250901-MULTI-Weekday-01,24627238-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164545,300086,1,1
30,250901-MULTI-Weekday-01,24627239-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164653,300086,1,1
30,250901-MULTI-Weekday-01,24627240-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164548,300086,1,1
30,250901-MULTI-Weekday-01,24627241-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164679,300086,1,1
30,250901-MULTI-Weekday-01,24627242-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164549,300086,1,1
30,250901-MULTI-Weekday-01,24627243-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164650,300086,1,1
