shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10221,43.721891,-79.714015,280003
10221,43.721891,-79.714015,290001
10221,43.722570,-79.714921,290002
10221,43.723173,-79.715707,290003
10221,43.723773,-79.716500,290004
10221,43.724002,-79.716807,290005
10221,43.724002,-79.716807,300001
10221,43.724477,-79.717447,300002
10221,43.725086,-79.716771,300003
10221,43.725086,-79.716771,310001
10221,43.725707,-79.716082,310002
10221,43.727564,-79.714020,310003
10221,43.728131,-79.713390,310004
10221,43.728679,-79.712777,310005
10221,43.728679,-79.712777,320001
10221,43.730004,-79.711296,320002
10221,43.731475,-79.709649,320003
10221,43.732449,-79.708560,320004
10221,43.733242,-79.707673,320005
10221,43.734068,-79.706748,320006
10221,43.734651,-79.706076,320007
10221,43.734651,-79.706076,330001
10221,43.736282,-79.704196,330002
10221,43.736282,-79.704196,340001
10221,43.738487,-79.701654,340002
10221,43.738487,-79.701654,350001
10221,43.738795,-79.701299,350002
10221,43.740343,-79.699513,350003
10221,43.740492,-79.699341,350004
10221,43.740492,-79.699341,360001
10221,43.743555,-79.695810,360002
10221,43.744019,-79.695262,360003
10221,43.744019,-79.695262,370001
10221,43.746158,-79.692737,370002
10221,43.746615,-79.692194,370003
10221,43.746615,-79.692194,380001
10221,43.748443,-79.690028,380002
10221,43.749946,-79.688247,380003
10221,43.749946,-79.688247,390001
10221,43.750486,-79.687607,390002
10221,43.753127,-79.684476,390003
10221,43.753701,-79.683798,390004
10221,43.753701,-79.683798,400001
10221,43.757473,-79.679340,400002
10221,43.759069,-79.677344,400003
10221,43.760289,-79.675515,400004
10221,43.760490,-79.675199,400005
10221,43.761123,-79.674107,400006
10221,43.761148,-79.674059,400007
10221,43.761676,-79.673019,400008
10221,43.762008,-79.673330,400009
10221,43.762324,-79.673641,400010
10221,43.762540,-79.673925,400011
10221,43.763031,-79.673368,400012
10221,43.763031,-79.673368,410001
10221,43.764632,-79.671552,410002
10221,43.764632,-79.671552,420001
10221,43.764855,-79.671299,420002
10221,43.765472,-79.670595,420003
